"euc","temp","comp","mt","id"
-0.264499850358684,-0.318611129486126,-0.259716203933234,-0.396695300534651,101
-0.0186397250674845,-0.0385376182671206,-0.0169610732567132,-0.0863728918222979,101
-0.0291887508934514,-0.0530010966844981,-0.0266549528021831,-0.113887730160785,101
-0.705950354097766,-0.711809579096936,-0.71849244790494,-0.699537995393225,101
-0.0166449274970738,-0.0352661172006339,-0.0154118804854019,-0.0827099201385259,101
-0.000235732999877214,-0.0010263950366726,-0.000177103205599496,-0.00570818190020441,101
-0.00110864425972349,-0.00372393324869312,-0.000894648857878139,-0.0146887172484772,101
-0.0765888878784044,-0.122838929634807,-0.0757272542167507,-0.201883852718211,101
-0.0123661387178552,-0.027291566062405,-0.0106889307751416,-0.0642607582402641,101
-0.824084825864216,-0.776642720648889,-0.807148081549856,-0.765991819256526,101
-0.0237297523635141,-0.0514839434906154,-0.0245813268138551,-0.105849709077425,101
-0.00967770288592919,-0.0239467887605289,-0.00945101801108701,-0.0608965726213794,101
-0.792179606795363,-0.692134725513916,-0.698739313260724,-0.691795138534085,101
-0.0164425733779896,-0.0344716941907161,-0.0150552737213636,-0.0802054244332957,101
-0.00219877658839684,-0.0111920723154484,-0.0016539932580509,-0.115268322167992,101
-0.102224513310174,-0.147787179391244,-0.0964533476830184,-0.226005571575129,101
-0.00530509945367527,-0.0151848095374303,-0.00530798501999389,-0.0436854724897283,101
-0.13944767831725,-0.178560154583935,-0.122754494618683,-0.262671771589142,101
-0.112127826527071,-0.176072896997595,-0.119132609753076,-0.258532096986372,101
-0.00190166081589056,-0.0100541667641749,-0.00143527224268111,-0.115919481208961,101
-0.611973823086207,-0.633637983388033,-0.613414650937958,-0.633164305246691,101
-0.301579632533512,-0.350037513527771,-0.293796089488845,-0.428374518471835,101
-0.0192355761261877,-0.0432383765810836,-0.0198314388706455,-0.0942450341393667,101
-0.277267659342715,-0.335382226024266,-0.27763310522518,-0.419695909743558,101
-0.00154067656455478,-0.00507141253700047,-0.00133156105049055,-0.0193383670532023,101
-0.000496890247785951,-0.00208336269039574,-0.000437904024702841,-0.0100137782214725,101
-0.0230686093818257,-0.0506766916140574,-0.0239809890244932,-0.104352185156455,101
-0.0255710103625346,-0.0500275970668276,-0.0233956443327108,-0.102580353715228,101
-0.0198265508021856,-0.0424049447481643,-0.0192906451086523,-0.0924972858843011,101
-0.776379806913428,-0.767911562966336,-0.792984073256586,-0.760850235590175,101
-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.691286471377018,102
-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.691286471377018,102
-0.132965883895694,-0.225082289383365,-0.154593663117959,-0.128386693729647,102
-0.752990165382537,-1.32531466078864,-1.1940258382869,-0.695011594164958,102
-0.649087306543753,-0.361447374048573,-0.495622811074475,-0.691286471356067,102
-0.0211129582985073,-0.0251264668863377,-0.0276335672470752,-0.0626959581534813,102
-0.00134347555154356,-0.00177721683263688,-0.00237861696745472,-0.00869183678764537,102
-0.130491430757185,-0.0591489875367808,-0.17154519510411,-0.234904326830379,102
-0.00153451667950844,-0.00194409959858866,-0.00259673702801485,-0.00942326648616761,102
-0.000683543874831463,-0.00171459382762353,-0.00246851961886151,-0.0411496813757011,102
