"euc","temp","comp","mt","id"
-0.570647264321548,-0.484787120218645,-0.48256164096638,-0.481282880854663,3
-0.57032211055399,-0.499217633797999,-0.498834431684748,-0.499625790929537,3
-0.490031911006028,-0.441561680785706,-0.440682036455259,-0.439715160451551,3
-0.459253708805868,-0.471076601377313,-0.532799834110018,-0.531414005193165,3
-0.51742778599234,-0.522697870485143,-0.521823583259608,-0.523473802879383,3
-1.49179825603242,-1.54695126142329,-1.55655916495177,-1.55201224509028,3
-0.705772408107568,-0.705629343621951,-0.700356253557441,-0.704940800627197,3
-1.57658275325849,-1.65044709039837,-1.64621087576966,-1.63900145950102,3
-0.640178308940435,-0.623808155464134,-0.613305452389088,-0.611174175273729,3
-0.475541867733909,-0.453745247519928,-0.454343465069329,-0.453330055809173,3
-1.381780130532,-1.5435271172684,-1.54432398743889,-1.54474142179203,3
-0.460636952781563,-0.450645110825006,-0.450286328584971,-0.449298854650561,3
-0.697056818881527,-0.681106256764973,-0.681564761948453,-0.68216972034636,3
-1.32753321642704,-0.654373370632511,-0.661880841343112,-0.657574872595839,4
-0.541674579901535,-0.527047274182852,-0.527886583433456,-0.529021049322589,4
-0.452748006096171,-0.47180088175701,-0.468194175998573,-0.467446780493024,4
-0.497115643694948,-0.477138794738344,-0.476453182869036,-0.475729459183198,4
-0.480997049267758,-0.453647001691838,-0.452332901179025,-0.450607915598199,4
-1.55123013420712,-1.57407837708836,-1.58111506051594,-1.57313612442553,4
-0.495121625234881,-0.539083623295772,-0.534637850885216,-0.537001155949014,4
-1.07758948193611,-0.824344659315939,-0.829344122572661,-0.822784768571159,4
-1.2351060543127,-1.312826821867,-1.30612833060369,-1.3043121202439,4
-0.462448008414496,-0.538403458640754,-0.537562533102124,-0.535517968150809,4
-0.520921930627151,-0.507661952486913,-0.503771679569358,-0.507051476257309,4
-0.674929204107459,-0.671462839646927,-0.66823870611303,-0.665331546526201,4
-0.537277258904132,-0.533509433264729,-0.533760422467534,-0.534339432916381,4
-1.17910189798337,-1.18374098414183,-1.18856785474472,-1.1890320634266,4
-0.458792303375855,-0.45345188574087,-0.452494077192321,-0.451061622610194,4
-5.94737783675666,-6.11955525261381,-6.13839398035075,-6.15913459093522,4
-0.84674293000477,-0.86009184517788,-0.860129962440114,-0.860317291187535,4
-2.03124794414857,-2.23624765321909,-2.23622000476424,-2.25499644188607,4
-2.23257707704735,-2.23351439181937,-2.2313924834569,-2.2299500981347,4
-0.484073698451211,-0.45836534690697,-0.456861258125243,-0.454991736854578,4
-0.462993128534503,-0.451639098941668,-0.450279973765076,-0.450717691060458,5
-0.452573649861864,-0.4394678111728,-0.438618722618859,-0.437405795521369,5
-0.50809437723623,-0.493844341331585,-0.493670116963053,-0.493309598541435,5
-0.852947835248661,-0.861740770298457,-0.878677538917523,-0.860669047978986,5
-1.5591089257835,-1.52590715343122,-1.52935479779242,-1.53514518434624,5
-1.73841640689607,-1.76125645507738,-1.76298017865744,-1.7694722337001,5
-0.473289178955723,-0.464855129655876,-0.463231300410582,-0.462424102843944,5
-5.1750085448272,-5.48646376877236,-5.48658671003985,-5.50789659362268,5
-0.45542788420237,-0.443477603661028,-0.442500977950147,-0.441621936199447,5
-1.11516191464993,-1.09393870237091,-1.09505050006814,-1.09614953601947,5
-0.64093961576857,-0.621256212949204,-0.61921936281713,-0.622207799768876,5
-0.688208553938005,-0.683145844712293,-0.683923243666644,-0.686933770031041,5
-0.558289462042943,-0.524278507139195,-0.523873303887566,-0.522279555093889,5
-0.920133426664787,-0.943280402227622,-0.953128152263424,-0.941360435531207,5
-1.48674261256462,-1.4434882790445,-1.44452738925127,-1.45244505386261,5
-2.27271447114958,-2.31198247057231,-2.32028833298417,-2.31156915500375,5
-0.500347855865808,-0.495146733136045,-0.493827702477732,-0.492851781858373,5
-0.452474262212777,-0.444929643515712,-0.443063472038694,-0.442742946033112,5
-1.71607141177996,-1.71188110301468,-1.70957465337505,-1.70635236421251,5
-0.452639460984109,-0.441411631905346,-0.43996122206038,-0.439018529536998,5
-0.670893718203013,-0.664550436774629,-0.662148878442506,-0.669844952691021,6
-0.714995405128488,-0.630438414088512,-0.636052718941545,-0.633507534304597,6
-0.522139764802226,-0.551729078823411,-0.551457256724496,-0.551932779137953,6
-0.474791015501552,-0.465531696724709,-0.464666894898118,-0.463746506462503,6
-1.70547731856479,-1.5846415001598,-1.59267676788217,-1.60403856677903,6
-0.95726998412175,-0.980173656539138,-0.979995379542541,-0.977867206484206,6
-0.458310572783138,-0.450967584817704,-0.449313985565009,-0.448705142688822,6
-0.731622990768434,-0.625384160154502,-0.625804409855398,-0.621192184913965,6
-0.624328312405227,-0.636094358934896,-0.63616827567061,-0.636259245848514,6
-0.72350262315458,-0.63384809831784,-0.634873044217913,-0.635541196925486,6
-0.710271440593087,-0.656670269857763,-0.655947998652333,-0.659491491879656,6
-0.461145801821659,-0.458723942734766,-0.457745249786624,-0.457163849612816,6
-1.67385166190724,-1.54776050505249,-1.54699090755528,-1.53720495667273,6
-0.766632613541711,-0.790677213109337,-0.792803481563721,-0.794782324414727,6
-1.45129303015531,-1.36876000904004,-1.37024578073373,-1.37510342748707,6
-0.630544121624835,-0.612872682510374,-0.612563555198105,-0.613068786608261,6
-1.80498866610678,-1.91357662060689,-1.91231738457093,-1.9191498881495,6
-6.03910870437879,-6.64773364556731,-6.65020125178582,-6.67000278070897,6
-0.470332891160912,-0.450616292154749,-0.448774001658976,-0.44733742189874,6
-0.874842568594327,-0.935995646387274,-0.932879261088083,-0.931536212948139,6
-0.45512059124349,-0.43934797617396,-0.438508973163536,-0.437057376399525,7
-3.99176976308615,-4.05440019184684,-4.05116769408293,-4.03297253721893,7
-3.51873981962432,-3.55764330983131,-3.57333707999477,-3.5909129093477,7
-0.813474848956435,-0.841894594196394,-0.838843569342057,-0.829465058646667,7
-0.478177384359952,-0.48673483930106,-0.484474564840424,-0.482017986314701,7
-1.37749831975208,-1.38608660369388,-1.38511863938861,-1.38372299990012,7
-1.67030606672102,-1.7208298942901,-1.72406912626294,-1.72602619445444,7
-0.495277604516615,-0.523143377043499,-0.522524041956324,-0.523550801111436,7
-2.251872573176,-2.14865464583405,-2.13020303966347,-2.14467683046234,7
-2.73622364438211,-2.92163101585166,-2.91916589428049,-2.9208687525814,7
-0.528287894357878,-0.490271284625894,-0.489915868936136,-0.491061816874284,7
-0.490961998114278,-0.465205709773894,-0.463456579465104,-0.462756243198524,7
-0.545351219641984,-0.533954819461827,-0.532625956188725,-0.535787309181163,7
-0.575491156675629,-0.564895080532992,-0.564533625509112,-0.563181265382948,7
-0.452398895793694,-0.43991754488539,-0.438542651524159,-0.437477277783687,7
-0.798808190891401,-0.757019137617694,-0.753617448756407,-0.750437318425293,7
-0.452653346255369,-0.439764215120734,-0.438192219929361,-0.437209686508219,7
-0.538287212762312,-0.534880081932059,-0.532131087625739,-0.530900738288245,7
-0.588992999560357,-0.567933922073333,-0.57364411293861,-0.569314448874311,7
-0.485008763144617,-0.486963524740574,-0.48639021371657,-0.487910769481596,7
-0.858234586718625,-0.85476714718369,-0.850384246461225,-0.856877054478238,8
-0.847490730428441,-0.85038340809331,-0.853800179604016,-0.853500896351328,8
-0.49718000427927,-0.470767003116866,-0.472126369798992,-0.470198956020529,8
-3.2477175261848,-3.34639452731326,-3.34002382111129,-3.35054541197904,8
-0.516798391775386,-0.50588590920272,-0.504635090083463,-0.505439159970828,8
-1.77791099431611,-1.73658979075737,-1.74357298295611,-1.73340873899753,8
-0.474096904687342,-0.464325431144816,-0.461589566770595,-0.460768265930229,8
-0.929424477272435,-0.878414383189429,-0.884351996686034,-0.878415017556161,8
-0.458708522361447,-0.444965262372397,-0.444807439975157,-0.443424510857248,8
-0.452257654334518,-0.438981965704154,-0.437816462501922,-0.436814691844965,8
-5.3226533300262,-5.44827824535948,-5.45629189493017,-5.45016424372852,8
-2.09415710735076,-2.16513873150072,-2.16158318538592,-2.15907760827352,8
-2.05332380225785,-1.94146383005286,-1.93704345156357,-1.93722962678438,8
-1.13073757119178,-1.12305696772512,-1.12133731990407,-1.12347644901577,8
