subj,trial,map,option1,option2,chosen_object,unchosen_object,chosen_value,unchosen_value,decision
102,43,2,8,9,8,9,16.1621192465339,19.0043934374881,1
102,44,2,9,4,4,9,1.67308660338568,19.0043934374881,2
102,45,2,7,1,1,7,44.4858066222941,1.88923160081495,2
102,46,2,4,5,5,4,2.61214098539182,1.67308660338568,2
102,47,2,4,11,11,4,100,1.67308660338568,2
102,48,2,7,3,3,7,50.2328997724975,1.88923160081495,2
102,49,2,3,8,3,8,50.2328997724975,16.1621192465339,1
102,50,2,11,2,11,2,100,16.1621192465339,1
102,51,1,1,8,8,1,43.594028762536,0.759511501145757,2
102,52,1,2,7,7,2,90.3707077873196,4.89356064113839,2
102,53,1,6,3,6,3,43.594028762536,11.0002740485006,1
102,54,1,8,1,8,1,43.594028762536,0.759511501145757,1
102,55,1,12,1,12,1,17.884245506376,0.759511501145757,1
102,56,1,3,6,6,3,43.594028762536,11.0002740485006,2
102,57,1,1,8,8,1,43.594028762536,0.759511501145757,2
102,58,1,9,10,9,10,70.8751717969681,4.89356064113839,1
102,59,1,6,2,6,2,43.594028762536,4.89356064113839,1
102,60,1,2,4,4,2,14.0261042959477,4.89356064113839,2
102,61,2,3,11,11,3,100,50.2328997724975,2
102,62,2,11,1,11,1,100,44.4858066222941,1
102,63,2,10,8,10,8,50.2328997724974,16.1621192465339,1
102,64,2,10,9,10,9,50.2328997724974,19.0043934374881,1
102,65,2,4,10,10,4,50.2328997724974,1.67308660338568,2
102,66,2,1,9,1,9,44.4858066222941,19.0043934374881,1
102,67,2,5,2,2,5,16.1621192465339,2.61214098539182,2
102,68,2,4,8,8,4,16.1621192465339,1.67308660338568,2
102,69,2,4,10,10,4,50.2328997724974,1.67308660338568,2
102,70,2,11,1,11,1,100,44.4858066222941,1
102,71,1,4,6,6,4,43.594028762536,14.0261042959477,2
102,72,1,6,9,9,6,70.8751717969681,43.594028762536,2
102,73,1,10,3,10,3,4.89356064113839,11.0002740485006,1
102,74,1,4,7,7,4,90.3707077873196,14.0261042959477,2
102,75,1,9,4,9,4,70.8751717969681,14.0261042959477,1
102,76,1,7,4,7,4,90.3707077873196,14.0261042959477,1
102,77,1,1,8,8,1,43.594028762536,0.759511501145757,2
102,78,1,2,7,7,2,90.3707077873196,4.89356064113839,2
102,79,1,7,6,7,6,90.3707077873196,43.594028762536,1
102,80,1,4,9,9,4,70.8751717969681,14.0261042959477,2
102,81,2,1,4,1,4,44.4858066222941,1.67308660338568,1
102,82,2,2,11,11,2,100,16.1621192465339,2
102,83,2,7,2,2,7,16.1621192465339,1.88923160081495,2
102,84,2,8,3,3,8,50.2328997724975,16.1621192465339,2
102,85,2,10,4,10,4,50.2328997724974,1.67308660338568,1
102,86,2,2,5,2,5,16.1621192465339,2.61214098539182,1
102,87,2,10,4,10,4,50.2328997724974,1.67308660338568,1
102,88,2,9,3,3,9,50.2328997724975,19.0043934374881,2
102,89,2,9,10,10,9,50.2328997724974,19.0043934374881,2
102,90,2,2,8,8,2,16.1621192465339,16.1621192465339,2
102,91,1,8,12,8,12,43.594028762536,17.884245506376,1
102,92,1,9,10,9,10,70.8751717969681,4.89356064113839,1
102,93,1,10,9,9,10,70.8751717969681,4.89356064113839,2
102,94,1,2,12,12,2,17.884245506376,4.89356064113839,2
102,95,1,7,1,7,1,90.3707077873196,0.759511501145757,1
102,96,1,3,10,10,3,4.89356064113839,11.0002740485006,2
102,97,1,3,6,6,3,43.594028762536,11.0002740485006,2
102,98,1,12,1,12,1,17.884245506376,0.759511501145757,1
102,99,1,12,2,2,12,4.89356064113839,17.884245506376,2
102,100,1,4,2,4,2,14.0261042959477,4.89356064113839,1
103,1,2,10,3,3,10,50.2328997724975,50.2328997724974,2
103,2,2,1,2,2,1,16.1621192465339,44.4858066222941,2
103,3,2,10,8,10,8,50.2328997724974,16.1621192465339,1
103,4,2,3,8,3,8,50.2328997724975,16.1621192465339,1
103,5,2,1,2,1,2,44.4858066222941,16.1621192465339,1
103,6,2,4,7,4,7,1.67308660338568,1.88923160081495,1
103,7,2,5,11,11,5,100,2.61214098539182,2
103,8,2,8,7,8,7,16.1621192465339,1.88923160081495,1
103,9,2,4,8,8,4,16.1621192465339,1.67308660338568,2
103,10,2,7,5,7,5,1.88923160081495,2.61214098539182,1
103,11,1,7,2,7,2,90.3707077873196,4.89356064113839,1
103,12,1,3,10,10,3,4.89356064113839,11.0002740485006,2
103,13,1,7,4,4,7,14.0261042959477,90.3707077873196,2
103,14,1,1,9,9,1,70.8751717969681,0.759511501145757,2
103,15,1,9,10,9,10,70.8751717969681,4.89356064113839,1
103,16,1,3,2,3,2,11.0002740485006,4.89356064113839,1
103,17,1,8,6,8,6,43.594028762536,43.594028762536,1
103,18,1,2,4,2,4,4.89356064113839,14.0261042959477,1
103,19,1,3,6,6,3,43.594028762536,11.0002740485006,2
103,20,1,8,10,8,10,43.594028762536,4.89356064113839,1
103,21,2,7,11,11,7,100,1.88923160081495,2
103,22,2,11,1,11,1,100,44.4858066222941,1
103,23,2,11,9,11,9,100,19.0043934374881,1
103,24,2,3,2,3,2,50.2328997724975,16.1621192465339,1
103,25,2,4,5,5,4,2.61214098539182,1.67308660338568,2
103,26,2,9,10,10,9,50.2328997724974,19.0043934374881,2
103,27,2,2,1,1,2,44.4858066222941,16.1621192465339,2
103,28,2,2,3,3,2,50.2328997724975,16.1621192465339,2
103,29,2,1,5,1,5,44.4858066222941,2.61214098539182,1
103,30,2,10,5,10,5,50.2328997724974,2.61214098539182,1
103,31,1,2,1,1,2,0.759511501145757,4.89356064113839,2
103,32,1,10,3,10,3,4.89356064113839,11.0002740485006,1
103,33,1,12,4,12,4,17.884245506376,14.0261042959477,1
103,34,1,2,9,9,2,70.8751717969681,4.89356064113839,2
