choices,choice_indices,rewards,regret,RPE
10.0,0.0,100.0,0.0,1.7756114416912485
0.0,0.0,44.0,0.0,-1.6213717978838535
7.0,0.0,16.0,3.0,-0.6411694717859842
2.0,1.0,50.0,0.0,1.1055200829275276
5.0,0.0,43.0,0.0,-0.20435362997237674
6.0,1.0,90.0,0.0,1.6326512380238136
7.0,1.0,43.0,0.0,-1.3179884639203068
6.0,0.0,90.0,0.0,1.5785314494319556
7.0,0.0,43.0,0.0,-1.3564907419876553
6.0,0.0,90.0,0.0,1.563668183379628
8.0,1.0,70.0,0.0,-0.5278288800391711
11.0,0.0,17.0,0.0,-1.3059555251041144
8.0,0.0,70.0,0.0,1.6780011052709447
7.0,1.0,43.0,0.0,-0.8506867070004197
8.0,0.0,19.0,0.0,-0.8232932017406875
10.0,1.0,100.0,0.0,2.7862581435184772
8.0,1.0,19.0,0.0,-2.490066034908457
8.0,0.0,19.0,0.0,-0.041624425911588436
0.0,1.0,44.0,0.0,0.8024931932370909
3.0,0.0,3.0,0.0,-0.9910600742811649
10.0,1.0,100.0,0.0,3.19431172391681
2.0,1.0,50.0,0.0,-1.4321267331970937
2.0,0.0,50.0,0.0,0.030012850384749823
10.0,0.0,100.0,0.0,1.6970286345335361
7.0,1.0,43.0,0.0,-1.7588658107621824
6.0,1.0,90.0,0.0,1.6430483643669647
5.0,0.0,43.0,0.0,-1.5073451029092295
7.0,0.0,43.0,0.0,0.004797752394689964
11.0,0.0,17.0,0.0,-0.9306567189323225
5.0,1.0,43.0,0.0,0.8646403840721515
7.0,1.0,43.0,0.0,0.00862519311315807
8.0,0.0,70.0,0.0,0.9937632487480105
5.0,0.0,43.0,0.0,-0.9631909838414922
3.0,1.0,14.0,0.0,0.2891977728423447
10.0,1.0,100.0,0.0,2.7449880736130927
10.0,0.0,100.0,0.0,0.15220812243251958
9.0,0.0,50.0,0.0,-1.3815448558513412
9.0,0.0,50.0,0.0,0.048435345369729696
9.0,1.0,50.0,0.0,0.049180224736100675
0.0,0.0,44.0,0.0,-0.1802195276013971
1.0,1.0,16.0,0.0,-0.9005271885518125
7.0,1.0,16.0,0.0,-0.043066014600298574
9.0,1.0,50.0,0.0,1.1086000293710945
10.0,0.0,100.0,0.0,1.6925504907303643
