choices,choice_indices,rewards,regret,RPE
9.0,0.0,50.0,0.0,1.5518186498325197
10.0,0.0,100.0,0.0,1.5177988077169111
0.0,0.0,44.0,0.0,-1.552641038926647
8.0,1.0,19.0,0.0,-0.7453682880660041
2.0,1.0,50.0,0.0,0.953019490896271
5.0,0.0,43.0,0.0,-0.22105102278257144
6.0,1.0,90.0,0.0,1.4010659091947801
7.0,1.0,43.0,0.0,-1.2118592227041904
6.0,0.0,90.0,0.0,1.409901497331875
11.0,1.0,17.0,26.0,-1.2777045501581705
6.0,0.0,90.0,0.0,2.14787092301892
8.0,1.0,70.0,0.0,-0.6847364198846184
2.0,1.0,11.0,6.0,-1.3320600681114243
8.0,0.0,70.0,0.0,1.5797306509997038
7.0,1.0,43.0,0.0,-0.7315234847702529
8.0,0.0,19.0,0.0,-0.755922712638474
10.0,1.0,100.0,0.0,2.581952428950942
8.0,1.0,19.0,0.0,-2.371511118704544
3.0,1.0,3.0,16.0,0.41941249067506103
0.0,1.0,44.0,0.0,1.2640120573380857
3.0,0.0,3.0,0.0,-1.1285552893167725
10.0,1.0,100.0,0.0,2.929450958720445
2.0,1.0,50.0,0.0,-1.407702238096363
2.0,0.0,50.0,0.0,-0.00379542726696408
10.0,0.0,100.0,0.0,1.5043088536616296
7.0,1.0,43.0,0.0,-1.5853496568822294
6.0,1.0,90.0,0.0,1.4594685529549922
5.0,0.0,43.0,0.0,-1.4595215710834073
7.0,0.0,43.0,0.0,0.0016593008522935437
11.0,0.0,17.0,0.0,-0.6593588299886037
5.0,1.0,43.0,0.0,0.8239782657665371
7.0,1.0,43.0,0.0,0.0009675731283137756
8.0,0.0,70.0,0.0,0.7837407033029495
5.0,0.0,43.0,0.0,-0.9338924099323387
3.0,1.0,14.0,0.0,-0.8221110350079508
10.0,1.0,100.0,0.0,2.5040962625628915
10.0,0.0,100.0,0.0,0.014652044744857706
9.0,0.0,50.0,0.0,-1.0190658693939438
9.0,0.0,50.0,0.0,-0.004606795054545462
9.0,1.0,50.0,0.0,0.03134658079263236
0.0,0.0,44.0,0.0,-0.14361370989121186
1.0,1.0,16.0,0.0,-0.6532973463124473
7.0,1.0,16.0,0.0,0.17466873855128107
9.0,1.0,50.0,0.0,1.0151468834174127
